ID,Nombre,Proveedor,Stock Actual,Stock Físico,Precio Compra,Precio Venta,Tipo,Uva,Notas
499,3 Medallas Santa Rita Carmenere,La Mediterranea,0,0,121,260,,Carmenere,
387,5 Vite,Secretos de la Vid S de RL de CV,5,6,247,380,VT,5 Uvas,
478,ALBA VEGA ALBARIÑO BLANCO,Secretos de la Vid S de RL de CV,4,9,361,499,,,
424,Almas Triunfantes Mezcal Ensamble,Secretos de la Vid S de RL de CV,3,3,600,1070,Mezcal,Mezcal Ensamble,
436,Almas Triunfantes Mezcal Espadin,Secretos de la Vid S de RL de CV,5,4,1064,1400,Mezcal,Mezcal Espadin,
421,3,Secretos de la Vid S de RL de CV,4,3,312,450,VT,Cabernet Sauvignon,
396,Altotinto Chardonnay,Vieja Bodega,56,6,249,390,,Chardonnay,
457,Altotinto Chardonnay Personalizado Crabster,Vieja Bodega,114,18,249,337.56,blanco,Chardonnay,
355,Altotinto Sauvignon Blanc,Vieja Bodega,0,2,249,395,VT,SB,
356,Altotinto sauvignon blanc personalizado Molusk,Vieja Bodega,104,24,249,393,,SB,
482,Altotinto Selección personalizado Scattola,Vieja Bodega,111,36,276,400,tinto,,
362,ANÉCDOTA BLEND,Vieja Bodega,170,13,186,325,,"Cabernet ,Tempranillo, Merlot",
408,Anécdota Cabernet Merlot,Vieja Bodega,182,16,141,289,,"Cabernet, Merlot",
367,Anécdota Chardonnay Chenin,Vieja Bodega,3,0,186,325,,"Chardonnay, Chennin",
366,Anécdota Chenin Blanc,Vieja Bodega,0,18,141,289,VB,Chennin Blanc,
420,Anécdota Moscatel Alejandría,Vieja Bodega,116,0,141,289,blanco,Moscatel,
407,Anecdota Rose Cabernet Merlot,Vieja Bodega,6,1,141,289,rosado,"Cabernet, Merlot",
425,Bacanora Yoeme,Secretos de la Vid S de RL de CV,4,4,730,880,Bacanora,Bacanora,
390,Caeles Syrah,Secretos de la Vid S de RL de CV,17,9,327,455,VT,Syrah,
403,Carelli 34 Cabernet franc,Cosecha,6,3,195,365,VT,Cabernet Franc,
442,Carlos Montes Criado en Roble 12M Tannat,Vieja Bodega,4,0,327,580,tinto,Tannat,
371,Carlos Montes Merlot,Vieja Bodega,11,11,327,445,VT,Merlot,
373,Carlos Montes Tannat,Vieja Bodega,12,0,327,445,VT,Tannat,
374,Carlos Montes Tannat Cabernet,Vieja Bodega,9,5,327,445,VT,"Cabernet, Tannat",
379,Chiappela Tannat,Vieja Bodega,12,0,141,295,VT,Tannat,
385,Chiaramonte Nero D'avola,Secretos de la Vid S de RL de CV,18,16,320,450,VT,Nero D'avola,
423,Coyote Vibora Sotol,Secretos de la Vid S de RL de CV,3,5,532,699,Sotol,Sotol,
375,Criado en Roble Tannat,Vieja Bodega,4,1,327,580,VT,Tannat,
406,Elegido Tannat Cabernet Merlot,Vieja Bodega,12,0,216,365,VT,"Cabernet, Merlot, Tannat",
411,Elite Malbec,Vieja Bodega,5,1,965,1300,VT,Malbec,
413,Elite Nebbiolo,Vieja Bodega,4,0,965,1300,VT,"Corvina, Corvinone, Rondinella, Molinara",
500,Espumoso Dimond imperial,Jirsa,0,1,105.1,171,,,
440,Evento vinos,Festival del Vino y el Queso,11,0,0,3000,,N/A,
481,FIRRIATO SANTAGOSTINO BAGLIO SORIA Nero d'Avola - Syrah,Secretos de la Vid S de RL de CV,6,4,521,750,,,
433,Flumen Prosecco,Secretos de la Vid S de RL de CV,49,14,225,350,VE,Prossecco,
402,Fuente Viña Garnacha Rose,Jirsa,4,0,100,199,VR,Garnacha,
365,Gaudensius Blanc de Noir,Secretos de la Vid S de RL de CV,5,0,669,860,VB,Blanc de Noir,
416,Gin Marconi 46,Secretos de la Vid S de RL de CV,2,1,950,1150,Gin,Gin,
370,Hida,Secretos de la Vid S de RL de CV,32,0,209,350,VB,Selección de Blancas,
386,Hida tinto,Secretos de la Vid S de RL de CV,4,4,209,350,VT,Selección de Tintas,
422,Il Lemos,Secretos de la Vid S de RL de CV,5,5,358,485,VT,Susumaniello,
