id,nombre,precio_actual,costo_transporte,precio_sugerido,costo_transporte_calculado,proveedor,requiere_correccion
478,ALBA VEGA ALBARIÑO BLANCO,361.0,15.0,346.0,15.0,Secretos de la Vid S de RL de CV,FALSE
481,FIRRIATO SANTAGOSTINO BAGLIO SORIA Nero,521.0,15.0,506.0,15.0,Secretos de la Vid S de RL de CV,FALSE
472,LEONE DE CASTRIS ILLIVIA Negroamaro 100%,209.0,15.0,194.0,15.0,Secretos de la Vid S de RL de CV,FALSE
471,LEONE DE CASTRIS VILLA SANTERA Primitivo,494.0,15.0,479.0,15.0,Secretos de la Vid S de RL de CV,FALSE
473,PLENO BLANCO NAVARRA,125.4,15.0,110.4,15.0,Secretos de la Vid S de RL de CV,FALSE
474,PLENO CRIANZA NAVARRA,186.2,15.0,171.2,15.0,Secretos de la Vid S de RL de CV,FALSE
476,PLENO GRAN RESERVA,410.4,15.0,395.4,15.0,Secretos de la Vid S de RL de CV,FALSE
477,PLENO RESERVA NAVARRA,243.2,15.0,228.2,15.0,Secretos de la Vid S de RL de CV,FALSE
479,PLENO ROSADO NAVARRA,125.4,15.0,110.4,15.0,Secretos de la Vid S de RL de CV,FALSE
475,PLENO TEMPRANILLO TINTO,125.4,15.0,110.4,15.0,Secretos de la Vid S de RL de CV,FALSE
469,POLI ELISIR LIMONE / LIMONCELLO,494.0,15.0,479.0,15.0,Secretos de la Vid S de RL de CV,FALSE
480,"TRES RIBERAS ""HA PASADO UN ÁNGEL""",117.8,15.0,102.8,15.0,Secretos de la Vid S de RL de CV,FALSE
387,5 Vite,247.0,15.0,232.0,15.0,Secretos de la vid,FALSE
424,Almas Triunfantes Mezcal Ensamble,600.0,15.0,585.0,15.0,Secretos de la vid,FALSE
436,Almas Triunfantes Mezcal Espadin,1064.0,15.0,1049.0,15.0,Secretos de la vid,FALSE
421,Altavilla de la Corte,312.0,15.0,297.0,15.0,Secretos de la vid,FALSE
425,Bacanora Yoeme,730.0,15.0,715.0,15.0,Secretos de la vid,FALSE
390,Caeles Syrah,327.0,15.0,312.0,15.0,Secretos de la vid,FALSE
385,Chiaramonte Nero D'avola,320.0,15.0,305.0,15.0,Secretos de la vid,FALSE
423,Coyote Vibora Sotol,532.0,15.0,517.0,15.0,Secretos de la vid,FALSE
433,Flumen Prosecco,225.0,15.0,210.0,15.0,Secretos de la vid,FALSE
365,Gaudensius Blanc de Noir,669.0,15.0,654.0,15.0,Secretos de la vid,FALSE
416,Gin Marconi 46,950.0,15.0,935.0,15.0,Secretos de la vid,FALSE
370,Hida,209.0,15.0,194.0,15.0,Secretos de la vid,FALSE
386,Hida tinto,209.0,15.0,194.0,15.0,Secretos de la vid,FALSE
422,Il Lemos,358.0,15.0,343.0,15.0,Secretos de la vid,FALSE
431,Ilivia Leone de Castris primitivo,244.0,15.0,229.0,15.0,Secretos de la vid,FALSE
397,Imago Chardonnay,304.0,15.0,289.0,15.0,Secretos de la vid,FALSE
384,Leone Di Castris Primitivo di Manduria,244.0,15.0,229.0,15.0,Secretos de la vid,FALSE
399,Montepulciano 1.5L,206.0,15.0,191.0,15.0,Secretos de la vid,FALSE
388,Ottobuche,209.0,15.0,194.0,15.0,Secretos de la vid,FALSE
380,Piarelle Passito,418.0,15.0,403.0,15.0,Secretos de la vid,FALSE
415,Poli Sarpa Blanca,795.0,15.0,780.0,15.0,Secretos de la vid,FALSE
368,Rocca Lupo Nero,99.0,15.0,84.0,15.0,Secretos de la vid,FALSE
429,Rocca Merlot,122.0,15.0,107.0,15.0,Secretos de la vid,FALSE
378,Rocca Montepulciano D'abruzzo,168.0,15.0,153.0,15.0,Secretos de la vid,FALSE
389,Rocca Perciatta Nero D'avola Syrah,175.0,15.0,160.0,15.0,Secretos de la vid,FALSE
391,Rocca Perciatta inzolia Chardonnay,175.0,15.0,160.0,15.0,Secretos de la vid,FALSE
383,Rocca Sangiose,149.0,15.0,134.0,15.0,Secretos de la vid,FALSE
377,Rocca Zinfandel Blush,156.0,15.0,141.0,15.0,Secretos de la vid,FALSE
