id,nombre,precio_actual,costo_transporte,precio_sugerido,costo_transporte_calculado,proveedor,requiere_correccion
478,ALBA VEGA ALBARIÑO BLANCO,361,15,346,15,Secretos de la Vid S de RL de CV,FALSE
481,FIRRIATO SANTAGOSTINO BAGLIO SORIA Nero,521,15,506,15,Secretos de la Vid S de RL de CV,FALSE
472,LEONE DE CASTRIS ILLIVIA Negroamaro 100%,209,15,194,15,Secretos de la Vid S de RL de CV,FALSE
471,LEONE DE CASTRIS VILLA SANTERA Primitivo,494,15,479,15,Secretos de la Vid S de RL de CV,FALSE
473,PLENO BLANCO NAVARRA,125.4,15,110.4,15,Secretos de la Vid S de RL de CV,FALSE
474,PLENO CRIANZA NAVARRA,186.2,15,171.2,15,Secretos de la Vid S de RL de CV,FALSE
476,PLENO GRAN RESERVA,410.4,15,395.4,15,Secretos de la Vid S de RL de CV,FALSE
477,PLENO RESERVA NAVARRA,243.2,15,228.2,15,Secretos de la Vid S de RL de CV,FALSE
479,PLENO ROSADO NAVARRA,125.4,15,110.4,15,Secretos de la Vid S de RL de CV,FALSE
475,PLENO TEMPRANILLO TINTO,125.4,15,110.4,15,Secretos de la Vid S de RL de CV,FALSE
469,POLI ELISIR LIMONE / LIMONCELLO,494,15,479,15,Secretos de la Vid S de RL de CV,FALSE
480,"TRES RIBERAS ""HA PASADO UN ÁNGEL""",117.8,15,102.8,15,Secretos de la Vid S de RL de CV,FALSE
387,5 Vite,247,15,232,15,Secretos de la vid,FALSE
424,Almas Triunfantes Mezcal Ensamble,600,15,585,15,Secretos de la vid,FALSE
436,Almas Triunfantes Mezcal Espadin,1064,15,1049,15,Secretos de la vid,FALSE
421,Altavilla de la Corte,312,15,297,15,Secretos de la vid,FALSE
425,Bacanora Yoeme,730,15,715,15,Secretos de la vid,FALSE
390,Caeles Syrah,327,15,312,15,Secretos de la vid,FALSE
385,Chiaramonte Nero D'avola,320,15,305,15,Secretos de la vid,FALSE
423,Coyote Vibora Sotol,532,15,517,15,Secretos de la vid,FALSE
433,Flumen Prosecco,225,15,210,15,Secretos de la vid,FALSE
365,Gaudensius Blanc de Noir,669,15,654,15,Secretos de la vid,FALSE
416,Gin Marconi 46,950,15,935,15,Secretos de la vid,FALSE
370,Hida,209,15,194,15,Secretos de la vid,FALSE
386,Hida tinto,209,15,194,15,Secretos de la vid,FALSE
422,Il Lemos,358,15,343,15,Secretos de la vid,FALSE
431,Ilivia Leone de Castris primitivo,244,15,229,15,Secretos de la vid,FALSE
397,Imago Chardonnay,304,15,289,15,Secretos de la vid,FALSE
384,Leone Di Castris Primitivo di Manduria,494,15,229,15,Secretos de la vid,FALSE
399,Montepulciano 1.5L,206,15,191,15,Secretos de la vid,FALSE
388,Ottobuche,209,15,194,15,Secretos de la vid,FALSE
380,Piarelle Passito,418,15,403,15,Secretos de la vid,FALSE
415,Poli Sarpa Blanca,795,15,780,15,Secretos de la vid,FALSE
368,Rocca Lupo Nero,99,15,84,15,Secretos de la vid,FALSE
429,Rocca Merlot,122,15,107,15,Secretos de la vid,FALSE
378,Rocca Montepulciano D'abruzzo,168,15,153,15,Secretos de la vid,FALSE
389,Rocca Perciatta Nero D'avola Syrah,175,15,160,15,Secretos de la vid,FALSE
391,Rocca Perciatta inzolia Chardonnay,175,15,160,15,Secretos de la vid,FALSE
383,Rocca Sangiose,149,15,134,15,Secretos de la vid,FALSE
377,Rocca Zinfandel Blush,156,15,141,15,Secretos de la vid,FALSE
430,Rocca pinot grigio Rosé,175,15,160,15,Secretos de la vid,FALSE
393,Scaia Corvina,285,15,270,15,Secretos de la vid,FALSE
381,Scaia Garganega Chardonnay,285,15,270,15,Secretos de la vid,FALSE
426,Sotol Jon Oro Coyamel,347,15,332,15,Secretos de la vid,FALSE
432,VB Rocca pinot grigio,175,15,160,15,Secretos de la vid,FALSE
369,VE Dueto spumante Pinot bianco Chardonay,160,15,145,15,Secretos de la vid,FALSE
382,VR Five Roses,365,15,350,15,Secretos de la vid,FALSE
412,VT Valpolicela ripssso Monti Garbi,437,15,422,15,Secretos de la vid,FALSE
398,Vigna Case Alte Sauvignon Blanc,323,15,308,15,Secretos de la vid,FALSE
362,ANÉCDOTA BLEND,186,28,158,28,Vieja Bodega,FALSE
357,Altotinto Chardonay personalizado Crabster,277,28,249,28,Vieja Bodega,FALSE
456,Altotinto Chardonay personalizado Crabster,249,28,221,28,Vieja Bodega,FALSE
457,Altotinto Chardonay personalizado Crabster,249,28,221,28,Vieja Bodega,FALSE
396,Altotinto Chardonnay,249,28,221,28,Vieja Bodega,FALSE
355,Altotinto Sauvignon Blanc,249,28,249,28,Vieja Bodega,FALSE
356,Altotinto sauvignon blanc personalizado Molusk,249,28,249,28,Vieja Bodega,FALSE
407,Anecdota Rose Cabernet Merlot,141,28,141,28,Vieja Bodega,FALSE
408,Anécdota Cabernet Merlot,141,28,113,28,Vieja Bodega,FALSE
367,Anécdota Chardonnay Chenin,186,28,186,28,Vieja Bodega,FALSE
366,Anécdota Chenin Blanc,141,28,141,28,Vieja Bodega,FALSE
420,Anécdota Moscatel Alejandría,169,28,141,28,Vieja Bodega,FALSE
442,Carlos Montes Criado en Roble 12M Tannat,327,28,417,28,Vieja Bodega,FALSE
371,Carlos Montes Merlot,327,28,299,28,Vieja Bodega,FALSE
373,Carlos Montes Tannat,327,28,299,28,Vieja Bodega,FALSE
374,Carlos Montes Tannat Cabernet,327,28,299,28,Vieja Bodega,FALSE
379,Chiappela Tannat,141,28,141,28,Vieja Bodega,FALSE
375,Criado en Roble Tannat,327,28,417,28,Vieja Bodega,FALSE
406,Elegido Tannat Cabernet Merlot,216,28,194,28,Vieja Bodega,FALSE
411,Elite Malbec,965,28,965,28,Vieja Bodega,FALSE
413,Elite Nebbiolo,965,28,965,28,Vieja Bodega,FALSE
418,Pau Moscato,366,28,366,28,Vieja Bodega,FALSE
372,Reserva Familiar tannat,201,28,201,28,Vieja Bodega,FALSE
459,V.B. ELITE VIII ALBARIÑO 750 ML,366,28,338,28,Vieja Bodega,FALSE
446,V.B. MIYABI ANEC CHENIN BLANC 750 ML,141,28,113,28,Vieja Bodega,FALSE
453,V.T. ALTOTINTO GRAN CABERNET 750 ML,441,28,413,28,Vieja Bodega,FALSE
460,V.T. ALTOTINTO NEBBIOLO 750 ML.,344,28,316,28,Vieja Bodega,FALSE
451,V.T. BIB TINTO 4 MESES 3 LT,225,28,197,28,Vieja Bodega,FALSE
458,V.T. CHIAPPELLA TANNAT 750 ml.,141,28,113,28,Vieja Bodega,FALSE
450,V.T. HOTEL CIGNO P.P. 750 ML,141,28,113,28,Vieja Bodega,FALSE
464,V.T. PICAHAÑA PRIMERO PASOS 750ML,141,28,113,28,Vieja Bodega,FALSE
447,V.T. PIZZA PARADISO P. P. 750ML,141,28,141,28,Vieja Bodega,FALSE
448,V.T. PIZZA PARADISO P. P. 750ML,141,28,113,28,Vieja Bodega,FALSE
461,V.T. SICOMORO ENSAMBLE 6 MESES 750ML,186,28,158,28,Vieja Bodega,FALSE
462,V.T. SICOMORO P.P 750ML,141,28,113,28,Vieja Bodega,FALSE
449,V.T. VALLE OCULTO 9 MESES 750 ML,186,28,158,28,Vieja Bodega,FALSE
463,V.T. VALLE OCULTO CABERNET 6M 750ML,186,28,157.99,28,Vieja Bodega,FALSE
455,V.T. VALLE OCULTO MALBEC 750ML,141,28,141,28,Vieja Bodega,FALSE
454,V.T. VALLE OCULTO MERLOT 750 ML,141,28,141,28,Vieja Bodega,FALSE
363,VT Altotinto selección,276,28,276,28,Vieja Bodega,FALSE
361,VT CABERNET MERLOT PERSONALIZADO CIGNO,141,28,141,28,Vieja Bodega,FALSE
358,VT CABERNET SAUVIGNON PERSONALIZADO PICAHAÑA,171,28,143,28,Vieja Bodega,FALSE
428,VT CABERNET SAUVIGNON PERSONALIZADO SICOMORO,141,28,141,28,Vieja Bodega,FALSE
427,VT ENSAMBLE PERSONALIZADO SICOMORO,186,28,186,28,Vieja Bodega,FALSE
359,Vidente Chardonnay,249,28,249,28,Vieja Bodega,FALSE
